"","President","Sentences","sent.id","nword","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","snipets","ldatopic","ldahash","Government","Spirit","Nation","Democracy","Determination","Freedom","Misc","America","Arm","Justice","Citizen","Fear","Equality","Constitution","Strive"
"18","AbrahamLincoln-1","All members of Congress swear their support to the whole Constitution--to this provision as much as to any other."," 18","19","0.00000000","0.00000000","0.05260389","0.00000000","0.00000000","0.00000000","0.00000000","0.10520779","0.00000000","0.05260389","and the intention of the lawgiver is the law.  To the proposition, then, that slaves whose cases come within the terms of this clause shall be delivered up their oaths are unanimous.","14","Constitution","0.06666667","0.05128205","0.05128205","0.05128205","0.05128205","0.05128205","0.06666667","0.05128205","0.05128205","0.08205128","0.06666667","0.05128205","0.05128205","0.15897436","0.09743590"
"19","AbrahamLincoln-1","To the proposition, then, that slaves whose cases come within the terms of this clause shall be delivered up their oaths are unanimous."," 19","23","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.08691873","All members of Congress swear their support to the whole Constitution--to this provision as much as to any other.  Now, if they would make the effort in good temper, could they not with nearly equal unanimity frame and pass a law by means of which to keep good that unanimous oath?","14","Constitution","0.05855856","0.08558559","0.04504505","0.04504505","0.05855856","0.04504505","0.05855856","0.08558559","0.09909910","0.04504505","0.05855856","0.07207207","0.04504505","0.15315315","0.04504505"
"20","AbrahamLincoln-1","Now, if they would make the effort in good temper, could they not with nearly equal unanimity frame and pass a law by means of which to keep good that unanimous oath?"," 20","32","0.00000000","0.03124024","0.00000000","0.00000000","0.03124024","0.00000000","0.03124024","0.09372071","0.00000000","0.15620119","To the proposition, then, that slaves whose cases come within the terms of this clause shall be delivered up their oaths are unanimous.  There is some difference of opinion whether this clause should be enforced by national or by State authority, but surely that difference is not a very material one.","14","Constitution","0.04504505","0.04504505","0.04504505","0.09909910","0.08558559","0.04504505","0.07207207","0.04504505","0.05855856","0.04504505","0.05855856","0.05855856","0.04504505","0.16666667","0.08558559"
"21","AbrahamLincoln-1","There is some difference of opinion whether this clause should be enforced by national or by State authority, but surely that difference is not a very material one."," 21","28","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.03570154","0.00000000","0.03570154","Now, if they would make the effort in good temper, could they not with nearly equal unanimity frame and pass a law by means of which to keep good that unanimous oath?  If the slave is to be surrendered, it can be of but little consequence to him or to others by which authority it is done."," 2","Spirit","0.04504505","0.13963964","0.04504505","0.07207207","0.07207207","0.04504505","0.05855856","0.05855856","0.08558559","0.05855856","0.07207207","0.04504505","0.04504505","0.11261261","0.04504505"
"22","AbrahamLincoln-1","If the slave is to be surrendered, it can be of but little consequence to him or to others by which authority it is done."," 22","25","0.03998401","0.00000000","0.00000000","0.03998401","0.00000000","0.03998401","0.00000000","0.03998401","0.03998401","0.03998401","There is some difference of opinion whether this clause should be enforced by national or by State authority, but surely that difference is not a very material one.  And should anyone in any case be content that his oath shall go unkept on a merely unsubstantial controversy as to 'how' it shall be kept?","15","Strive","0.04566210","0.04566210","0.05936073","0.04566210","0.05936073","0.04566210","0.05936073","0.05936073","0.07305936","0.07305936","0.07305936","0.04566210","0.04566210","0.12785388","0.14155251"
"23","AbrahamLincoln-1","And should anyone in any case be content that his oath shall go unkept on a merely unsubstantial controversy as to 'how' it shall be kept?"," 23","26","0.00000000","0.00000000","0.00000000","0.03844675","0.03844675","0.03844675","0.00000000","0.07689350","0.07689350","0.07689350","If the slave is to be surrendered, it can be of but little consequence to him or to others by which authority it is done.  Again: In any law upon this subject ought not all the safeguards of liberty known in civilized and humane jurisprudence to be introduced, so that a free man be not in any case surrendered as a slave?"," 4","Democracy","0.04566210","0.07305936","0.07305936","0.08675799","0.04566210","0.05936073","0.07305936","0.04566210","0.08675799","0.05936073","0.08675799","0.04566210","0.08675799","0.08675799","0.04566210"
"24","AbrahamLincoln-1","Again: In any law upon this subject ought not all the safeguards of liberty known in civilized and humane jurisprudence to be introduced, so that a free man be not in any case surrendered as a slave?"," 24","37","0.02701972","0.02701972","0.00000000","0.05403945","0.05403945","0.08105917","0.02701972","0.08105917","0.08105917","0.08105917","And should anyone in any case be content that his oath shall go unkept on a merely unsubstantial controversy as to 'how' it shall be kept?  And might it not be well at the same time to provide by law for the enforcement of that clause in the Constitution which guarantees that the citizens of each State shall be entitled to all privileges and immunities of citizens in the several States?","15","Strive","0.04219409","0.06751055","0.04219409","0.04219409","0.04219409","0.05485232","0.06751055","0.04219409","0.06751055","0.06751055","0.10548523","0.04219409","0.05485232","0.11814346","0.14345992"
"25","AbrahamLincoln-1","And might it not be well at the same time to provide by law for the enforcement of that clause in the Constitution which guarantees that the citizens of each State shall be entitled to all privileges and immunities of citizens in the several States?"," 25","45","0.00000000","0.02221729","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.04443457","0.02221729","0.02221729","Again: In any law upon this subject ought not all the safeguards of liberty known in civilized and humane jurisprudence to be introduced, so that a free man be not in any case surrendered as a slave?  I take the official oath to-day with no mental reservations and with no purpose to construe the Constitution or laws by any hypercritical rules;","14","Constitution","0.06926407","0.04329004","0.05627706","0.04329004","0.05627706","0.08225108","0.10822511","0.04329004","0.08225108","0.05627706","0.05627706","0.04329004","0.08225108","0.12121212","0.05627706"
"26","AbrahamLincoln-1","I take the official oath to-day with no mental reservations and with no purpose to construe the Constitution or laws by any hypercritical rules;"," 26","24","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.08329863","0.00000000","0.04164931","And might it not be well at the same time to provide by law for the enforcement of that clause in the Constitution which guarantees that the citizens of each State shall be entitled to all privileges and immunities of citizens in the several States?  and while I do not choose now to specify particular acts of Congress as proper to be enforced, I do suggest that it will be much safer for all, both in official and private stations, to conform to and abide by all those acts which stand unrepealed than to violate any of them trusting to find impunity in having them held to be unconstitutional.","14","Constitution","0.05673759","0.03546099","0.05673759","0.04609929","0.04609929","0.05673759","0.06737589","0.05673759","0.06737589","0.09929078","0.08865248","0.06737589","0.05673759","0.15248227","0.04609929"
"27","AbrahamLincoln-1","and while I do not choose now to specify particular acts of Congress as proper to be enforced, I do suggest that it will be much safer for all, both in official and private stations, to conform to and abide by all those acts which stand unrepealed than to violate any of them trusting to find impunity in having them held to be unconstitutional."," 27","64","0.00000000","0.00000000","0.01562256","0.00000000","0.00000000","0.00000000","0.00000000","0.04686768","0.01562256","0.01562256","I take the official oath to-day with no mental reservations and with no purpose to construe the Constitution or laws by any hypercritical rules;  It is seventy-two years since the first inauguration of a President under our National Constitution.","14","Constitution","0.04761905","0.04761905","0.04761905","0.04761905","0.04761905","0.04761905","0.04761905","0.06190476","0.10476190","0.04761905","0.11904762","0.07619048","0.04761905","0.13333333","0.07619048"
"28","AbrahamLincoln-1","It is seventy-two years since the first inauguration of a President under our National Constitution."," 28","15","0.00000000","0.06662225","0.00000000","0.00000000","0.06662225","0.00000000","0.00000000","0.13324450","0.00000000","0.13324450","and while I do not choose now to specify particular acts of Congress as proper to be enforced, I do suggest that it will be much safer for all, both in official and private stations, to conform to and abide by all those acts which stand unrepealed than to violate any of them trusting to find impunity in having them held to be unconstitutional.  During that period fifteen different and greatly distinguished citizens have in succession administered the executive branch of the Government.","10","Justice","0.04980843","0.06130268","0.03831418","0.03831418","0.03831418","0.06130268","0.03831418","0.04980843","0.07279693","0.10727969","0.10727969","0.10727969","0.07279693","0.10727969","0.04980843"
"29","AbrahamLincoln-1","During that period fifteen different and greatly distinguished citizens have in succession administered the executive branch of the Government."," 29","19","0.00000000","0.00000000","0.00000000","0.05260389","0.00000000","0.00000000","0.00000000","0.00000000","0.05260389","0.00000000","It is seventy-two years since the first inauguration of a President under our National Constitution.  They have conducted it through many perils, and generally with great success."," 9","Arm","0.06770833","0.05208333","0.08333333","0.05208333","0.06770833","0.06770833","0.05208333","0.05208333","0.09895833","0.06770833","0.09895833","0.06770833","0.05208333","0.06770833","0.05208333"
"30","AbrahamLincoln-1","They have conducted it through many perils, and generally with great success."," 30","12","0.00000000","0.08326395","0.00000000","0.00000000","0.08326395","0.00000000","0.00000000","0.00000000","0.00000000","0.08326395","During that period fifteen different and greatly distinguished citizens have in succession administered the executive branch of the Government.  Yet, with all this scope of precedent, I now enter upon the same task for the brief constitutional term of four years under great and peculiar difficulty."," 2","Spirit","0.04385965","0.12280702","0.04385965","0.04385965","0.04385965","0.05701754","0.05701754","0.10964912","0.07017544","0.04385965","0.09649123","0.08333333","0.05701754","0.07017544","0.05701754"
"31","AbrahamLincoln-1","Yet, with all this scope of precedent, I now enter upon the same task for the brief constitutional term of four years under great and peculiar difficulty."," 31","27","0.03702332","0.00000000","0.00000000","0.03702332","0.00000000","0.03702332","0.00000000","0.03702332","0.03702332","0.07404665","They have conducted it through many perils, and generally with great success.  A disruption of the Federal Union, heretofore only menaced, is now formidably attempted.","11","Citizen","0.06770833","0.06770833","0.06770833","0.08333333","0.05208333","0.05208333","0.05208333","0.05208333","0.08333333","0.05208333","0.09895833","0.06770833","0.06770833","0.06770833","0.06770833"
"32","AbrahamLincoln-1","A disruption of the Federal Union, heretofore only menaced, is now formidably attempted."," 32","13","0.07686395","0.00000000","0.00000000","0.07686395","0.00000000","0.00000000","0.07686395","0.00000000","0.07686395","0.00000000","Yet, with all this scope of precedent, I now enter upon the same task for the brief constitutional term of four years under great and peculiar difficulty.  I hold that in contemplation of universal law and of the Constitution the Union of these States is perpetual.","14","Constitution","0.07305936","0.07305936","0.04566210","0.04566210","0.04566210","0.05936073","0.05936073","0.07305936","0.05936073","0.05936073","0.05936073","0.05936073","0.07305936","0.15525114","0.05936073"
"33","AbrahamLincoln-1","I hold that in contemplation of universal law and of the Constitution the Union of these States is perpetual."," 33","19","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.05260389","0.00000000","0.05260389","A disruption of the Federal Union, heretofore only menaced, is now formidably attempted.  Perpetuity is implied, if not expressed, in the fundamental law of all national governments."," 4","Democracy","0.06666667","0.05128205","0.06666667","0.09743590","0.06666667","0.05128205","0.06666667","0.05128205","0.09743590","0.06666667","0.06666667","0.05128205","0.05128205","0.09743590","0.05128205"
"34","AbrahamLincoln-1","Perpetuity is implied, if not expressed, in the fundamental law of all national governments."," 34","14","0.00000000","0.07137759","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.21413276","0.00000000","0.14275517","I hold that in contemplation of universal law and of the Constitution the Union of these States is perpetual.  It is safe to assert that no government proper ever had a provision in its organic law for its own termination.","14","Constitution","0.09452736","0.04975124","0.04975124","0.04975124","0.04975124","0.04975124","0.06467662","0.04975124","0.06467662","0.04975124","0.04975124","0.04975124","0.04975124","0.21393035","0.06467662"
"35","AbrahamLincoln-1","It is safe to assert that no government proper ever had a provision in its organic law for its own termination."," 35","21","0.00000000","0.00000000","0.00000000","0.04759638","0.04759638","0.04759638","0.00000000","0.09519277","0.09519277","0.14278915","Perpetuity is implied, if not expressed, in the fundamental law of all national governments.  Continue to execute all the express provisions of our National Constitution, and the Union will endure forever, it being impossible to destroy it except by some action not provided for in the instrument itself.","14","Constitution","0.05936073","0.07305936","0.07305936","0.05936073","0.04566210","0.05936073","0.05936073","0.04566210","0.04566210","0.04566210","0.04566210","0.05936073","0.05936073","0.19634703","0.07305936"
"36","AbrahamLincoln-1","Continue to execute all the express provisions of our National Constitution, and the Union will endure forever, it being impossible to destroy it except by some action not provided for in the instrument itself."," 36","34","0.00000000","0.02940312","0.00000000","0.00000000","0.00000000","0.02940312","0.00000000","0.02940312","0.02940312","0.08820935","It is safe to assert that no government proper ever had a provision in its organic law for its own termination.  Again: If the United States be not a government proper, but an association of States in the nature of contract merely, can it, as a contract, be peaceably unmade by less than all the parties who made it?","14","Constitution","0.11111111","0.05777778","0.04444444","0.07111111","0.04444444","0.05777778","0.04444444","0.05777778","0.04444444","0.05777778","0.04444444","0.09777778","0.04444444","0.17777778","0.04444444"
"37","AbrahamLincoln-1","Again: If the United States be not a government proper, but an association of States in the nature of contract merely, can it, as a contract, be peaceably unmade by less than all the parties who made it?"," 37","38","0.00000000","0.00000000","0.00000000","0.02630887","0.00000000","0.00000000","0.00000000","0.05261773","0.02630887","0.05261773","Continue to execute all the express provisions of our National Constitution, and the Union will endure forever, it being impossible to destroy it except by some action not provided for in the instrument itself.  One party to a contract may violate it--break it, so to speak--but does it not require all to lawfully rescind it?","14","Constitution","0.05701754","0.04385965","0.07017544","0.08333333","0.04385965","0.07017544","0.05701754","0.05701754","0.04385965","0.04385965","0.04385965","0.05701754","0.05701754","0.16228070","0.10964912"
"38","AbrahamLincoln-1","One party to a contract may violate it--break it, so to speak--but does it not require all to lawfully rescind it?"," 38","21","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.04759638","0.00000000","0.04759638","0.00000000","Again: If the United States be not a government proper, but an association of States in the nature of contract merely, can it, as a contract, be peaceably unmade by less than all the parties who made it?  Descending from these general principles, we find the proposition that in legal contemplation the Union is perpetual confirmed by the history of the Union itself.","14","Constitution","0.06837607","0.06837607","0.04273504","0.08119658","0.05555556","0.08119658","0.04273504","0.05555556","0.04273504","0.05555556","0.05555556","0.05555556","0.06837607","0.17094017","0.05555556"
"39","AbrahamLincoln-1","Descending from these general principles, we find the proposition that in legal contemplation the Union is perpetual confirmed by the history of the Union itself."," 39","25","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.11995202","0.00000000","0.19992003","One party to a contract may violate it--break it, so to speak--but does it not require all to lawfully rescind it?  The Union is much older than the Constitution.","14","Constitution","0.05208333","0.06770833","0.05208333","0.08333333","0.05208333","0.06770833","0.08333333","0.05208333","0.05208333","0.06770833","0.05208333","0.08333333","0.05208333","0.09895833","0.08333333"
"40","AbrahamLincoln-1","The Union is much older than the Constitution."," 40"," 8","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.12484395","0.00000000","0.00000000","0.00000000","0.00000000","Descending from these general principles, we find the proposition that in legal contemplation the Union is perpetual confirmed by the history of the Union itself.  It was formed, in fact, by the Articles of Association in 1774.","14","Constitution","0.05050505","0.05050505","0.05050505","0.05050505","0.06565657","0.08080808","0.05050505","0.05050505","0.06565657","0.06565657","0.05050505","0.08080808","0.08080808","0.15656566","0.05050505"
"41","AbrahamLincoln-1","It was formed, in fact, by the Articles of Association in 1774."," 41","11","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.18165304","0.00000000","0.00000000","The Union is much older than the Constitution.  It was matured and continued by the Declaration of Independence in 1776.","14","Constitution","0.07471264","0.05747126","0.05747126","0.05747126","0.07471264","0.05747126","0.07471264","0.05747126","0.05747126","0.05747126","0.05747126","0.07471264","0.05747126","0.09195402","0.09195402"
"42","AbrahamLincoln-1","It was matured and continued by the Declaration of Independence in 1776."," 42","11","0.00000000","0.09082652","0.00000000","0.00000000","0.09082652","0.00000000","0.09082652","0.09082652","0.00000000","0.09082652","It was formed, in fact, by the Articles of Association in 1774.  It was further matured, and the faith of all the then thirteen States expressly plighted and engaged that it should be perpetual, by the Articles of Confederation in 1778.","14","Constitution","0.05208333","0.08333333","0.05208333","0.05208333","0.06770833","0.05208333","0.05208333","0.05208333","0.08333333","0.05208333","0.06770833","0.08333333","0.06770833","0.13020833","0.05208333"
"43","AbrahamLincoln-1","It was further matured, and the faith of all the then thirteen States expressly plighted and engaged that it should be perpetual, by the Articles of Confederation in 1778."," 43","28","0.00000000","0.07140307","0.00000000","0.00000000","0.07140307","0.00000000","0.00000000","0.07140307","0.00000000","0.07140307","It was matured and continued by the Declaration of Independence in 1776.  And finally, in 1787, one of the declared objects for ordaining and establishing the Constitution was to form a more perfect Union.","14","Constitution","0.05208333","0.05208333","0.06770833","0.05208333","0.05208333","0.05208333","0.06770833","0.05208333","0.05208333","0.09895833","0.05208333","0.06770833","0.06770833","0.14583333","0.06770833"
"44","AbrahamLincoln-1","And finally, in 1787, one of the declared objects for ordaining and establishing the Constitution was to form a more perfect Union."," 44","21","0.00000000","0.09519277","0.04759638","0.00000000","0.09519277","0.00000000","0.04759638","0.09519277","0.00000000","0.09519277","It was further matured, and the faith of all the then thirteen States expressly plighted and engaged that it should be perpetual, by the Articles of Confederation in 1778.  But if destruction of the Union by one or by a part only of the States be lawfully possible, the Union is 'less' perfect than before the Constitution, having lost the vital element of perpetuity.","14","Constitution","0.04444444","0.08444444","0.04444444","0.04444444","0.09777778","0.04444444","0.04444444","0.08444444","0.04444444","0.04444444","0.07111111","0.05777778","0.04444444","0.20444444","0.04444444"
